;emote;emote_sound_duration;emote_sound_danceability;emote_sound_energy;emote_sound_loudness;emote_sound_bpm;emote_sound_acousticness;emote_sound_instrumentalness;emote_sound_liveness;emote_sound_speechiness;emote_sound_valence;emote_sound_title;emote_sound_artist;emote_sound_genre;emote_sound_album;emote_sound_release_year
113;558;34.02;17.087980270385742;4.615894621975172;2.563949110056724;120.22305297851562;9.504430811179278;-6.829381802221492;17.002988815307617;7.829381802221492;0.7184731364250183;Tai Chi;Nite Gamic;Alternative;Unknown;Unknown
114;564;33.02;16.58538055419922;17.383782001264887;6.629155402471395;120.11299896240234;8.0561797752809;-17.284496632772612;16.122941970825195;18.284496632772612;0.8701264262199402;Whirlwind;Nite Gamic;Alternative;Unknown;Unknown
115;3368;31.02;15.584781646728516;11.51785327811017;4.358086285313037;141.17135620117188;2.543754674644727;-16.30670622379806;16.058034896850586;17.30670622379806;0.8507360219955444;Party hips (Fortnite);Yaq8bi;Electronic;Party hips (Fortnite) - Single;2020.0
116;11161;30.12;15.10365390777588;4.499911470642153;2.5612647516023457;102.02429962158205;4.209391839876829;-20.09038033142537;15.054699897766112;21.09038033142537;0.836329996585846;Tití Me Preguntó;Bad Bunny;Latin;Un Verano Sin Ti;2022.0
117;11607;30.14;15.071582794189451;8.750698358066954;4.067145330983286;153.68316650390625;8.990769230769232;-16.898572323036213;14.95615005493164;17.898572323036213;0.9038050174713136;Run BTS;BTS;K-Pop;Proof;2022.0
118;1580;31.02;15.754737854003906;8.91136395558384;4.06083618419251;126.35047149658205;9.962602842183994;-17.108201427928996;15.575510025024414;18.108201427928996;0.8332690596580505;Lady Love;Oden & Fatzo & Camden Cox;Dance;Lady Love - Single;2023.0
119;12252;30.13;15.105996131896973;3.49920081860279;2.08598470666376;83.06527709960938;8.036951501154734;-15.00816873870723;15.347609519958496;16.00816873870723;0.7200959920883179;This Is Halloween;The Citizens of Halloween;Soundtrack;The Nightmare Before Christmas (Special Edition) [Original Motion Picture Soundtrack];1993.0
120;15298;30.03;15.164052963256836;4.74433089447312;2.2417112327637474;101.09709167480467;4.984555984555985;-13.126708554246363;15.128717422485352;14.126708554246363;0.6518955230712891;Family Affair;Mary J. Blige;R&B/Soul;No More Drama (Version 1);2001.0
121;17855;30.02;14.878499984741213;8.114229351817594;3.947034734535899;150.50160217285156;13.59969088098918;-11.49644686299746;15.70372200012207;12.49644686299746;0.586219072341919;BANG YOUR HEAD;DIESEL, Hairitage & Shaquille O'Neal;Electronic;BANG YOUR HEAD - Single;2023.0
122;16587;30.03;15.22201156616211;9.17951230514924;4.300309964680764;123.3677215576172;7.289575289575289;-17.293609036591523;15.55678939819336;18.293609036591523;0.7768566012382507;Make You Mine;Madison Beer;Pop;Make You Mine - Single;2024.0
123;10861;30.13;15.11644172668457;6.454823474706781;2.95366709760351;93.91043853759766;5.200153964588145;-23.869131974809008;15.162362098693848;24.869131974809008;0.814608633518219;Fortnite Future Dreams Lobby Music;AYZHA NAE;Alternative;Unknown;Unknown
124;3962;38.01;19.06529426574707;11.402722460988333;4.893727320436346;151.54261779785156;7.576312576312576;-21.64516538091073;19.104568481445312;22.64516538091073;0.8045856356620789;Ribbon Dancer;Code Taco;Dance;Unknown;Unknown
125;14434;30.14;15.525761604309082;11.17116049094842;4.87473201176295;72.34685516357422;12.32153846153846;-16.06075545724099;14.7559175491333;17.06075545724099;0.8192442059516907;Back On 74;Jungle;Dance;Volcano;2023.0
126;4214;32.03;16.037006378173828;24.68637794738883;8.201686874506708;119.97145080566406;6.044895003620565;-25.42210590095586;16.17854118347168;26.42210590095586;0.834812343120575;La Danse Du V12 V2;Parano & Schyykaz;Hip-Hop/Rap;SCHYYNORIP;2020.0
127;3341;32.02;16.129945755004883;4.450346692046151;2.4469131365769052;120.96794128417967;7.539130434782609;-13.099833987408044;16.164819717407227;14.099833987408044;0.8956336975097656;Freemix;Code Taco;Dance;Unknown;Unknown
128;565;33.02;16.53807258605957;18.75008683913015;6.826577500488235;93.05545806884766;6.054775280898877;-27.889981868436152;16.97110939025879;28.889981868436152;0.6030138731002808;Wiggle;Nite Gamic;Electronic;Unknown;Unknown
129;559;31.03;15.432487487792969;0.5657829175776662;0.6518882285414505;152.01783752441406;3.664424514200299;-8.464719941248386;15.694707870483398;9.464719941248386;0.8507004380226135;Fortnite;Pisces;Pop;Fortnite - Single;2018.0
130;8943;32.1;16.15534210205078;0.3829682249748458;0.507575416341599;178.2058868408203;2.3908959537572256;-0.1220922224392517;12.746464729309082;1.1220922224392518;0.6616842150688171;Crowd, NBA, Cheer, Big, Winner Sound Effect;Pro Sound Effects Suite;Soundtrack;Unknown;Unknown
131;4610;34.02;17.111291885375977;16.35649336743976;6.303041636376659;113.89991760253906;20.14928425357873;-14.402637968961397;17.360694885253906;15.402637968961397;0.9097297191619872;Dynamite;BTS;K-Pop;BE;2020.0
132;2513;34.04997732426304;16.073225021362305;1.2177480257667248;0.6607245417376398;72.38748168945312;1.8923705722070845;-0.5016616319701488;15.882718086242676;1.5016616319701488;0.8393659591674805;Almost (feat. Blake Sicily) [Johnny's Crown Instrumental Mix];Johnny Vicious & Royaal;Electronic;Almost (feat. Blake Sicily);2014.0
133;3169;30.02;15.062213897705078;3.200600685340164;1.7613560428119024;114.39398956298828;1.5239567233384854;-11.57635175787;15.411762237548828;12.57635175787;0.6480282545089722;Chirstmas (Remix);AngChow;Ambient/Instrumental;Merry X'mas - Single;2021.0
134;3828;32.03;16.286907196044922;9.453085759535444;4.3925745214322625;82.58707427978516;3.7523533671252713;-29.51590574087654;16.25516700744629;30.51590574087654;0.608599841594696;STARGAZING;Travis Scott;Hip-Hop/Rap;ASTROWORLD;2018.0
135;9652;28.75;14.56928825378418;3.7218442725408223;2.238221567152294;100.41929626464844;5.364516129032258;-17.23918447665149;14.356091499328612;18.23918447665149;0.8644202351570129;Jiggle Jiggle;Duke & Jones & Louis Theroux;Dance;Jiggle Jiggle - Single;2022.0
136;11162;30.14;15.21651840209961;5.938572569324706;2.7589287625065593;107.49720764160156;4.560769230769231;-15.079940275755256;15.042129516601562;16.079940275755256;0.7381004095077515;It's Plenty;Burna Boy;Unknown;Love, Damini;2022.0
137;16802;30.02;15.237873077392578;6.533331895143282;3.1201085436850255;105.85020446777344;8.113601236476043;-4.0968779453927135;14.814002990722656;5.0968779453927135;0.7625362277030945;OKI DOKI;KAROL G;Latin;MAÑANA SERÁ BONITO (BICHOTA SEASON);2023.0
138;10650;30.12;15.083328247070312;12.364692706296406;5.1553456561791;119.4548797607422;9.1270207852194;-17.99891553664461;17.6545467376709;18.99891553664461;0.8787292242050171;Sounds Like Victory Lobby Music;Diamond Core;Pop;Sounds Like Victory Lobby Music - Single;2023.0
139;1636;38.01;18.621850967407227;2.6360240605667173;1.8347619009126013;99.78936767578124;8.818070818070819;-13.597044805145908;20.19643783569336;14.597044805145908;0.8551313877105713;Germanium;Foog;Electronic;Germanium;2013.0
140;3747;34.02;17.13082504272461;24.14449503960059;7.658975229026442;172.26553344726562;10.064758009543286;-18.00287149789332;16.74266815185547;19.00287149789332;0.6783612966537476;Scootin';Code Taco;Dance;Unknown;Unknown
141;17856;30.02;15.01354694366455;4.81708529608114;2.617617789022567;89.97542572021484;5.5548686244204015;-16.352288017461593;14.925981521606444;17.352288017461593;0.932039201259613;Redbull (Prod. Sinestesia Beatz);Trejos & Mente Abstracta;Hip-Hop/Rap;Redbull - Single;2024.0
142;5848;37.02;18.713275909423828;13.3838182560378;5.4239831500308355;132.63748168945312;12.68483709273183;-14.015648794378349;18.331279754638672;15.015648794378349;0.911859929561615;Gangnam Style;PSY;Pop;The Singles;2012.0
143;11765;5.099977324263039;2.4853644371032715;2.384545335888534;1.2701217826410791;184.5703125;4.3031674208144794;-14.666764205611036;1.9156463146209717;15.666764205611036;0.3666267395019531;Sonidos de Elefantes;Rousseau;Ambient/Instrumental;Unknown;Unknown
144;7044;30.02;15.203489303588867;7.630745206917082;3.6078675857973983;105.70000457763672;9.619010819165378;-11.904422075174352;15.158042907714844;12.904422075174352;0.938525140285492;Intro;Mafia Corleone & Scrooge;Hip-Hop/Rap;Rick & Morty;2021.0
145;9041;33.04;16.56206512451172;8.246175726257452;4.04662598900512;123.89315032958984;12.323033707865168;-14.814814488037248;16.227657318115234;15.814814488037248;0.7605881690979004;Don't Cry (Original Mix);Andrey Subbotin;Dance;Don't Cry - Single;2012.0
146;12522;30.13;15.289670944213867;6.947091984908506;3.283893040684285;104.58795928955078;8.141647421093149;-16.70847820962641;14.860854148864746;17.70847820962641;0.8499706983566284;The Real Slim Shady;Eminem;Hip-Hop/Rap;The Marshall Mathers LP;2000.0
147;16803;30.03;14.915356636047363;5.297379515507766;2.7671546712920474;115.28929138183594;6.54054054054054;-15.899200621369552;15.064866065979004;16.899200621369552;0.8562132716178894;CAIRO;KAROL G & Ovy On the Drums;Latin;MAÑANA SERÁ BONITO;2022.0
148;3829;31.02;15.813384056091309;4.357093448658204;2.1249881588293196;77.46092224121094;2.918474195961107;-19.033080416884022;15.658061981201172;20.033080416884022;0.5959429740905762;SICKO MODE;Travis Scott;Hip-Hop/Rap;ASTROWORLD;2018.0
149;6945;31.03;15.656810760498049;0.7674687095404072;0.3713122184055331;129.48878479003906;1.984304932735426;-0.1316662741895073;2.648365020751953;1.1316662741895074;0.9493982195854188;Cammy'stheme(スーパーストリートファイターⅡXより);Capcom;Game Soundtrack;カプコンアーケードスタジアム ミニアルバム;2013.0
150;566;32.02;16.0891056060791;14.767351408583362;5.750093359611455;152.35794067382812;14.726811594202898;-16.84987896331698;16.384122848510742;17.84987896331698;0.9051240682601928;Work It Out;Nite Gamic;Alternative;Unknown;Unknown
151;3168;30.02;15.089584350585938;10.715624074062797;4.571603300349666;96.1151123046875;7.479134466769707;-17.86902205388856;15.311192512512209;18.86902205388856;0.9432930946350098;Leapin';Code Taco;Dance;Unknown;Unknown
152;16344;30.02;15.141042709350586;5.214881621043513;2.9643156376064193;130.0587921142578;11.512364760432767;-18.45863888307922;15.25078010559082;19.45863888307922;0.9300656914711;Café del Mar (Deadmau5 Remix);Energy 52;Dance;Café del Mar: The Ibiza Clubmixes (2008);2008.0
