id;name;url;wishlists;occurrences;votes_fire;votes_love;votes_neutral;votes_disgust;votes_poop
11226;!;https://fortnite.gg/cosmetics?id=11226;1,595;0;3.1K;270;300;101;393
11228;SHAVE THE DATE;https://fortnite.gg/cosmetics?id=11228;1,840;0;3.7K;615;847;245;1.2K
10964;LIL' CIRCUIT RACER;https://fortnite.gg/cosmetics?id=10964;4,642;0;5.5K;727;633;225;716
10840;EVERBURN;https://fortnite.gg/cosmetics?id=10840;1,050;0;1.2K;245;273;69;236
10843;I'M A MYSTERY;https://fortnite.gg/cosmetics?id=10843;4,130;0;13.1K;1.2K;700;195;1.2K
10844;SURFIN' BIRD;https://fortnite.gg/cosmetics?id=10844;4,862;0;14.7K;1.1K;679;280;1.6K
10841;NANNER RINGER;https://fortnite.gg/cosmetics?id=10841;1,320;0;2.3K;338;282;101;304
10839;DIAMOND THRONE;https://fortnite.gg/cosmetics?id=10839;1,867;0;1.9K;391;286;77;173
10838;FOIL FLEX;https://fortnite.gg/cosmetics?id=10838;708;0;418;163;291;114;264
10837;KNIFE SHARPENER;https://fortnite.gg/cosmetics?id=10837;783;0;643;184;257;84;189
10842;CARD DROP;https://fortnite.gg/cosmetics?id=10842;542;0;371;83;297;118;537
10651;LIL' LONGBOAT;https://fortnite.gg/cosmetics?id=10651;1,204;0;801;201;272;60;171
10654;FLASHBACK BREAKDOWN;https://fortnite.gg/cosmetics?id=10654;2,277;0;6.8K;646;434;156;681
10652;DO THE 'SPLIT;https://fortnite.gg/cosmetics?id=10652;2,455;0;2.5K;382;325;141;952
10653;DOZE DAB;https://fortnite.gg/cosmetics?id=10653;1,563;0;1K;214;278;92;365
10494;FUSION CANNON;https://fortnite.gg/cosmetics?id=10494;805;0;780;121;181;70;267
10493;BATTLE READY;https://fortnite.gg/cosmetics?id=10493;816;0;676;126;170;69;219
10573;SWEET!;https://fortnite.gg/cosmetics?id=10573;1,390;0;1.4K;233;242;72;176
10495;LIL' T-6 SHUTTLE;https://fortnite.gg/cosmetics?id=10495;1,145;0;643;147;246;97;262
10112;PUMPED!;https://fortnite.gg/cosmetics?id=10112;815;0;550;134;287;141;1.6K
10111;POINT & SHOOT;https://fortnite.gg/cosmetics?id=10111;1,926;0;1.9K;280;618;203;1.7K
10107;METAMORPHOSIS;https://fortnite.gg/cosmetics?id=10107;960;0;1K;176;164;53;204
10106;BEATZBUNNY;https://fortnite.gg/cosmetics?id=10106;3,340;0;3.1K;365;240;91;328
10110;PITCYCLE;https://fortnite.gg/cosmetics?id=10110;1,665;0;2.3K;331;205;73;265
10108;DICE ROLL;https://fortnite.gg/cosmetics?id=10108;839;0;409;131;188;56;142
10104;FLAKY FEAST;https://fortnite.gg/cosmetics?id=10104;804;0;467;124;170;56;135
10103;CRACK IT;https://fortnite.gg/cosmetics?id=10103;1,645;0;2.5K;345;193;67;252
10018;SHADOW PLAY: TOAD;https://fortnite.gg/cosmetics?id=10018;1,179;0;389;61;97;38;184
10015;CURSED ENERGY;https://fortnite.gg/cosmetics?id=10015;2,402;0;921;99;101;41;137
10016;DEEP THOUGHT;https://fortnite.gg/cosmetics?id=10016;6,495;0;7.6K;982;989;321;1.2K
9934;LIL' OCTANE FLAMES;https://fortnite.gg/cosmetics?id=9934;4,643;0;6K;818;764;228;905
9730;SELF REFLEXING;https://fortnite.gg/cosmetics?id=9730;1,006;0;1.1K;220;216;73;177
9906;TOASTED COCONUT;https://fortnite.gg/cosmetics?id=9906;837;0;748;127;136;47;101
9820;BARRAGE CANNON;https://fortnite.gg/cosmetics?id=9820;1,124;0;919;137;179;68;313
9732;ANCESTRAL SHIFT;https://fortnite.gg/cosmetics?id=9732;1,345;0;1K;185;129;36;138
