,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_max_depth,param_min_child_weight,param_n_estimators,param_subsample,params,split0_test_rmse,split1_test_rmse,split2_test_rmse,mean_test_rmse,std_test_rmse,rank_test_rmse,split0_test_r2,split1_test_r2,split2_test_r2,mean_test_r2,std_test_r2,rank_test_r2,split0_test_mae,split1_test_mae,split2_test_mae,mean_test_mae,std_test_mae,rank_test_mae
13,11.61250408490499,0.5339082241524317,0.40946102142333984,0.02743802131018855,0.8,0.01,5,3,100,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 5, 'min_child_weight': 3, 'n_estimators': 100, 'subsample': 1.0}",-2.3524250962474333,-2.3405769965704333,-2.341633279115121,-2.344878457310996,0.005353674914253963,53,0.8356059807697404,0.8366061305599559,0.8368512862592707,0.836354465862989,0.0005386388897571469,53,-1.679583170408647,-1.6782623116947046,-1.6790151188940938,-1.6789535336658152,0.0005409938328705697,53
14,23.21263313293457,0.3576865545252657,0.6189705530802408,0.06488072902503665,0.8,0.01,5,3,200,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 5, 'min_child_weight': 3, 'n_estimators': 200, 'subsample': 0.8}",-1.1677534823351183,-1.1536466567274322,-1.1551046870608324,-1.1588349420411277,0.006334389412560127,37,0.9594905125889515,0.9603050264850028,0.9603001758469586,0.9600319049736377,0.00038282734822152553,37,-0.6971063375311224,-0.6960064633752879,-0.694492534492122,-0.6958684451328442,0.001071534214139512,40
15,21.51119915644328,1.6360523095231874,0.6377108891805013,0.02877224123210371,0.8,0.01,5,3,200,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 5, 'min_child_weight': 3, 'n_estimators': 200, 'subsample': 1.0}",-1.1682043139919107,-1.1537802238964474,-1.1552083649274185,-1.1590643009385924,0.006489210309542563,39,0.9594592277587726,0.9602958343252881,0.9602930489123418,0.9600160369988009,0.0003937252315739549,39,-0.6968479980068587,-0.6958126499759743,-0.6946423509326941,-0.6957676663051756,0.000901013282152043,37
16,10.692331949869791,0.20572576932653552,0.2088007132212321,0.017654046925739696,0.8,0.1,3,1,100,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 3, 'min_child_weight': 1, 'n_estimators': 100, 'subsample': 0.8}",-0.7981305652777406,-0.7804685927345067,-0.7842360619874605,-0.7876117399999026,0.007595293282125475,31,0.981076463964563,0.9818322663182265,0.9817004879912773,0.9815364060913555,0.0003296477431665871,31,-0.2963027223019582,-0.29670153440616426,-0.29497287937692857,-0.295992378695017,0.0007390520587448109,32
17,9.695230960845947,0.784973908170372,0.19372161229451498,0.028544215877560536,0.8,0.1,3,1,100,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 3, 'min_child_weight': 1, 'n_estimators': 100, 'subsample': 1.0}",-0.7968635098637807,-0.7778183810035868,-0.7832709078162581,-0.7859842662278752,0.0080083693191464,29,0.9811364995968316,0.9819554399949127,0.9817455024532235,0.981612480681656,0.00034731056005210287,29,-0.29530228848092127,-0.29228519372808437,-0.2945501928168504,-0.29404589167528533,0.0012823038948020754,29
18,20.207749446233112,0.11077622959713876,0.338126262029012,0.008288375931477413,0.8,0.1,3,1,200,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 3, 'min_child_weight': 1, 'n_estimators': 200, 'subsample': 0.8}",-0.7913549824121777,-0.7711248521421329,-0.7743310087691665,-0.7789369477744924,0.00887789570699171,24,0.9813963959419779,0.9822646692219746,0.9821598215759197,0.9819402955799573,0.0003869697398733742,24,-0.2891718486896557,-0.2893345188365852,-0.2877815643014141,-0.28876264394255163,0.0006968994862323876,23
19,18.663400014241535,0.49077537270917093,0.3599817752838135,0.037884869515656824,0.8,0.1,3,1,200,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 3, 'min_child_weight': 1, 'n_estimators': 200, 'subsample': 1.0}",-0.788889546913885,-0.7682972838827913,-0.7732922926430322,-0.7768263744799029,0.008770314513847705,15,0.9815121329753347,0.9823944949354255,0.9822076524177934,0.9820380934428513,0.0003796518946275416,15,-0.2881035745241557,-0.2858922247185549,-0.2872870897666635,-0.28709429633645805,0.0009130147756126212,20
20,10.0874183177948,0.18926181602516853,0.18105705579121908,0.028937543463012763,0.8,0.1,3,3,100,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 3, 'min_child_weight': 3, 'n_estimators': 100, 'subsample': 0.8}",-0.7981019819254042,-0.7808702946374118,-0.7841626259354197,-0.7877116341660786,0.007469018510431506,32,0.9810778193528564,0.9818135598862742,0.9817039149721632,0.981531764737098,0.00032409392743795083,32,-0.29643651892497774,-0.29643668480820257,-0.294941261854065,-0.29593815519574845,0.0007049100452771224,31
21,9.791172981262207,0.19502114877111737,0.20265658696492514,0.002730305037626223,0.8,0.1,3,3,100,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 3, 'min_child_weight': 3, 'n_estimators': 100, 'subsample': 1.0}",-0.7967828466589191,-0.7778023760333544,-0.7839990977191895,-0.7861947734704877,0.007902755228214587,30,0.9811403183521553,0.9819561825838807,0.9817115450582794,0.9816026819981051,0.00034185473089710954,30,-0.29529273683454366,-0.2922516500333959,-0.2946962515940189,-0.29408021282065283,0.0013157203504155738,30
22,20.577321847279865,1.1071106485799616,0.40906397501627606,0.15283271528386536,0.8,0.1,3,3,200,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 3, 'min_child_weight': 3, 'n_estimators': 200, 'subsample': 0.8}",-0.7913940891244666,-0.7713308745622017,-0.7736127704465635,-0.7787792447110773,0.008968555695215812,23,0.9813945572127506,0.9822551912136785,0.9821929018917989,0.981947550106076,0.0003918510303302868,23,-0.28901463449108533,-0.28921788084343253,-0.2882410752885828,-0.2888245302077002,0.0004208261730749464,24
